gene_name	gene_group
MARCO	MarkersMyeloid
MERTK	MarkersMyeloid
MKI67	MarkersMyeloid
MPO	MarkersMyeloid
MT-CO2	MarkersMyeloid
MX1	MarkersMyeloid
N3CR1	MarkersMyeloid
NAP1L1	MarkersMyeloid
NKG7	MarkersMyeloid
NRGN	MarkersMyeloid
OSM	MarkersMyeloid
PECAM1	MarkersMyeloid
PF4	MarkersMyeloid
PLAUR	MarkersMyeloid
PPBP	MarkersMyeloid
PPP1R14A	MarkersMyeloid
PRF1	MarkersMyeloid
S100A8	MarkersMyeloid
S100A9	MarkersMyeloid
S100A10	MarkersMyeloid
S100A12	MarkersMyeloid
SELL	MarkersMyeloid
SERPINA1	MarkersMyeloid
SERPINF1	MarkersMyeloid
SIGLEC10	MarkersMyeloid
SIGLEC6	MarkersMyeloid
SLAMF8	MarkersMyeloid
TCF4	MarkersMyeloid
TNF	MarkersMyeloid
TNFRSF10C	MarkersMyeloid
TNFRSF1A	MarkersMyeloid
TNFRSF1B	MarkersMyeloid
TNFSF13B	MarkersMyeloid
TREM2	MarkersMyeloid
TUBB1	MarkersMyeloid
VCAN	MarkersMyeloid
VMO1	MarkersMyeloid
VSIG4	MarkersMyeloid
ZFP36L2	MarkersMyeloid
ANXA1	MarkersNeutro
ARG1	MarkersNeutro
BPI	MarkersNeutro
CD101	MarkersNeutro
CD24	MarkersNeutro
CD274	MarkersNeutro
CSF3R	MarkersNeutro
CXCL8	MarkersNeutro
DEFA3	MarkersNeutro
DEFA4	MarkersNeutro
DUSP1	MarkersNeutro
EGR1	MarkersNeutro
ELANE	MarkersNeutro
FCGR3B	MarkersNeutro
FTH1	MarkersNeutro
G0S2	MarkersNeutro
IFIT3	MarkersNeutro
IFITM3	MarkersNeutro
IL3RA	MarkersNeutro
ISG15	MarkersNeutro
ITGAM	MarkersNeutro
KLF4	MarkersNeutro
LCN2	MarkersNeutro
LTF	MarkersNeutro
LY6E	MarkersNeutro
MKI67	MarkersNeutro
MMP8	MarkersNeutro
MPO	MarkersNeutro
NEAT1	MarkersNeutro
PADI4	MarkersNeutro
PRTN3	MarkersNeutro
PTMA	MarkersNeutro
RETN	MarkersNeutro
RPL5	MarkersNeutro
S100A4	MarkersNeutro
S100A8	MarkersNeutro
S100A9	MarkersNeutro
TCN1	MarkersNeutro
TNFAIP2	MarkersNeutro
TXN	MarkersNeutro
CD34	MarkersOther
CD36	MarkersOther
CD47	MarkersOther
GYPA	MarkersOther
GYPB	MarkersOther
HBB	MarkersOther
HMGB2	MarkersOther
MKI67	MarkersOther
N3CR1	MarkersOther
PF4	MarkersOther
PPBP	MarkersOther
AHNAK	MarkersT_NK
ANXA1	MarkersT_NK
BATF	MarkersT_NK
BCL6	MarkersT_NK
BTLA	MarkersT_NK
CCL2	MarkersT_NK
CCL19	MarkersT_NK
CCL20	MarkersT_NK
CCL21	MarkersT_NK
CCL25	MarkersT_NK
CCL3	MarkersT_NK
CCL4	MarkersT_NK
CCL5	MarkersT_NK
CCR1	MarkersT_NK
CCR10	MarkersT_NK
CCR2	MarkersT_NK
CCR4	MarkersT_NK
CCR5	MarkersT_NK
CCR6	MarkersT_NK
CCR7	MarkersT_NK
CCR8	MarkersT_NK
CCR9	MarkersT_NK
CD200	MarkersT_NK
CD27	MarkersT_NK
CD28	MarkersT_NK
CD3D	MarkersT_NK
CD3E	MarkersT_NK
CD3G	MarkersT_NK
CD38	MarkersT_NK
CD4	MarkersT_NK
CD69	MarkersT_NK
CD8A	MarkersT_NK
CD8B	MarkersT_NK
CDK1	MarkersT_NK
CES1	MarkersT_NK
CD40LG	MarkersT_NK
CTLA4	MarkersT_NK
CX3CR1	MarkersT_NK
CXCL13	MarkersT_NK
CXCR3	MarkersT_NK
CXCR4	MarkersT_NK
CXCR6	MarkersT_NK
DUSP4	MarkersT_NK
ENTPD1	MarkersT_NK
EOMES	MarkersT_NK
FAS	MarkersT_NK
FASLG	MarkersT_NK
FCER1G	MarkersT_NK
FCER2	MarkersT_NK
FCGR3A	MarkersT_NK
FGFBP2	MarkersT_NK
FOS	MarkersT_NK
FOXP3	MarkersT_NK
GATA3	MarkersT_NK
GNLY	MarkersT_NK
GPR183	MarkersT_NK
GZMA	MarkersT_NK
GZMB	MarkersT_NK
GZMH	MarkersT_NK
GZMK	MarkersT_NK
GZMM	MarkersT_NK
HAVCR2	MarkersT_NK
HMGB2	MarkersT_NK
HLA-DRB1	MarkersT_NK
HLA-E	MarkersT_NK
HLA-F	MarkersT_NK
HOPX	MarkersT_NK
ICOS	MarkersT_NK
IFI44L	MarkersT_NK
IFIT1	MarkersT_NK
IFITM2	MarkersT_NK
IFITM3	MarkersT_NK
IFNG	MarkersT_NK
IKZF2	MarkersT_NK
IKZF3	MarkersT_NK
IL10	MarkersT_NK
IL12A	MarkersT_NK
IL12B	MarkersT_NK
IL12RB1	MarkersT_NK
IL12RB2	MarkersT_NK
IL13	MarkersT_NK
IL15	MarkersT_NK
IL16	MarkersT_NK
IL17A	MarkersT_NK
